Date,Open,High,Low,Close,Adj Close,Volume
08/09/2018,6390.9,6484.3,6132.3,6580.76,6580.76,0
07/09/2018,6514.1,6540.6,6316.2,6313.83,6313.83,0
06/09/2018,6706.8,6732.9,6337.8,6269.74,6269.74,0
05/09/2018,7377.5,7407.5,6691.8,6196.17,6196.17,0
04/09/2018,7264.2,7409.9,7234.5,6257.31,6257.31,0
03/09/2018,7289.8,7330.7,7182.8,6318.21,6318.21,0
02/09/2018,7189.6,7334.8,7117.3,6228.07,6228.07,0
01/09/2018,7032.4,7264.3,7020.4,6109.19,6109.19,0
31/08/2018,6993.7,7080.2,6698.0,6540.47,6540.47,0
30/08/2018,7029.2,7050.2,6798.0,6274.5,6274.5,0
29/08/2018,7074.6,7121.4,6926.7,6720.18,6720.18,0
28/08/2018,6897.6,7129.7,6861.2,6931.59,6931.59,0
27/08/2018,6712.7,6902.9,6650.4,7032.06,7032.06,0
26/08/2018,6734.9,6892.7,6573.1,7014.55,7014.55,0
25/08/2018,6680.6,6783.4,6655.3,7413.7,7413.7,0
24/08/2018,6521.2,6721.2,6472.8,7536.0,7536.0,0
23/08/2018,6359.9,6550.2,6359.2,7602.14,7602.14,0
22/08/2018,6482.2,6840.8,6304.8,7725.05,7725.05,0
21/08/2018,6268.1,6484.1,6257.4,8166.86,8166.86,0
20/08/2018,6474.2,6516.4,6255.9,8216.06,8216.06,0
19/08/2018,6379.1,6534.8,6316.0,8234.98,8234.98,0
18/08/2018,6581.8,6626.4,6295.5,8192.21,8192.21,0
17/08/2018,6306.7,6581.7,6291.8,7926.36,7926.36,0
16/08/2018,6256.9,6470.9,6249.8,8160.0,8160.0,0
15/08/2018,6190.2,6592.8,6177.9,8400.0,8400.0,0
14/08/2018,6255.3,6255.3,5898.3,7713.62,7713.62,0
13/08/2018,6313.0,6524.1,6159.6,7400.37,7400.37,0
12/08/2018,6232.1,6453.0,6169.8,7408.79,7408.79,0
11/08/2018,6152.8,6469.6,6009.8,7334.8,7334.8,0
10/08/2018,6539.5,6570.2,6043.4,7466.58,7466.58,0
09/08/2018,6283.7,6620.2,6197.0,7378.55,7378.55,0
08/08/2018,6725.2,6725.2,6138.8,7322.78,7322.78,0
07/08/2018,6943.6,7149.7,6689.9,6729.22,6729.22,0
06/08/2018,7027.8,7143.6,6852.5,6347.99,6347.99,0
05/08/2018,7014.0,7087.6,6887.9,6250.02,6250.02,0
04/08/2018,7418.9,7484.2,6949.7,6210.0,6210.0,0
03/08/2018,7535.6,7535.6,7293.5,6249.75,6249.75,0
02/08/2018,7606.4,7701.4,7470.6,6380.0,6380.0,0
01/08/2018,7728.5,7753.2,7449.2,6299.0,6299.0,0
31/07/2018,8176.4,8176.5,7649.8,6666.0,6666.0,0
30/07/2018,8214.7,8262.0,7874.4,6700.88,6700.88,0
29/07/2018,8231.5,8275.4,8113.3,6754.14,6754.14,0
28/07/2018,8186.8,8234.1,8077.4,6587.45,6587.45,0
27/07/2018,7936.9,8273.8,7808.3,6529.47,6529.47,0
26/07/2018,8173.9,8304.3,7861.0,6583.72,6583.72,0
25/07/2018,8404.9,8484.6,8062.1,6508.36,6508.36,0
24/07/2018,7723.1,8479.8,7701.9,6615.13,6615.13,0
23/07/2018,7412.4,7809.6,7379.2,6345.53,6345.53,0
22/07/2018,7409.0,7575.3,7343.7,6389.01,6389.01,0
21/07/2018,7339.3,7460.8,7223.5,6202.49,6202.49,0
20/07/2018,7477.6,7683.6,7292.0,5850.13,5850.13,0
19/07/2018,7383.9,7558.4,7288.8,6135.8,6135.8,0
18/07/2018,7321.6,7581.2,7249.3,6060.01,6060.01,0
17/07/2018,6729.8,7453.2,6666.0,6242.53,6242.53,0
16/07/2018,6362.8,6749.2,6344.1,6149.99,6149.99,0
15/07/2018,6254.8,6399.6,6238.5,6172.55,6172.55,0
14/07/2018,6229.5,6313.5,6192.5,6073.38,6073.38,0
13/07/2018,6250.8,6333.8,6144.5,6717.88,6717.88,0
12/07/2018,6389.1,6389.4,6088.8,6758.31,6758.31,0
11/07/2018,6307.2,6409.7,6296.6,6740.96,6740.96,0
10/07/2018,6668.4,6686.8,6291.5,6711.16,6711.16,0
09/07/2018,6715.1,6793.8,6637.7,6444.35,6444.35,0
08/07/2018,6765.4,6784.0,6694.3,6486.86,6486.86,0
07/07/2018,6617.7,6805.9,6531.1,6388.98,6388.98,0
06/07/2018,6546.5,6638.2,6458.3,6639.66,6639.66,0
05/07/2018,6598.0,6693.6,6466.1,6297.7,6297.7,0
04/07/2018,6513.8,6774.5,6442.3,6550.0,6550.0,0
03/07/2018,6618.6,6676.6,6513.5,6878.0,6878.0,0
02/07/2018,6349.1,6680.0,6275.0,6770.0,6770.0,0
01/07/2018,6398.5,6445.1,6284.7,7501.64,7501.64,0
30/06/2018,6213.4,6498.5,6204.0,7647.19,7647.19,0
29/06/2018,5883.2,6284.9,5818.5,7691.26,7691.26,0
28/06/2018,6154.9,6178.4,5854.0,7657.93,7657.93,0
27/06/2018,6081.1,6187.3,6025.4,7610.0,7610.0,0
26/06/2018,6256.9,6267.7,6060.0,7500.0,7500.0,0
25/06/2018,6155.1,6331.2,6101.7,7709.99,7709.99,0
24/06/2018,6167.9,6248.3,5785.3,7643.52,7643.52,0
23/06/2018,6055.2,6259.0,6032.8,7521.01,7521.01,0
22/06/2018,6728.2,6739.7,5955.0,7484.84,7484.84,0
21/06/2018,6765.8,6797.5,6695.1,7387.88,7387.88,0
20/06/2018,6752.3,6812.7,6575.1,7460.0,7460.0,0
19/06/2018,6719.8,6839.5,6681.5,7098.11,7098.11,0
18/06/2018,6460.5,6794.5,6410.9,7349.12,7349.12,0
17/06/2018,6505.8,6593.0,6452.1,7333.2,7333.2,0
16/06/2018,6410.0,6564.2,6358.0,7462.65,7462.65,0
15/06/2018,6647.3,6655.8,6395.7,7572.49,7572.49,0
14/06/2018,6312.3,6711.5,6283.6,7497.47,7497.47,0
13/06/2018,6558.5,6624.6,6129.1,7985.77,7985.77,0
12/06/2018,6885.9,6887.2,6476.0,8395.71,8395.71,0
11/06/2018,6775.2,6910.8,6657.2,8515.17,8515.17,0
10/06/2018,7515.8,7516.3,6668.1,8240.01,8240.01,0
09/06/2018,7622.1,7689.0,7493.3,8230.0,8230.0,0
08/06/2018,7697.9,7710.5,7556.9,8060.01,8060.01,0
07/06/2018,7661.0,7754.7,7657.7,8344.94,8344.94,0
06/06/2018,7631.5,7699.1,7504.4,8475.58,8475.58,0
05/06/2018,7507.4,7672.6,7391.0,8682.73,8682.73,0
04/06/2018,7729.3,7759.9,7468.4,8685.5,8685.5,0
03/06/2018,7646.6,7775.0,7611.3,8466.31,8466.31,0
